"Freq [GHz]","re(Z(2,2)) [] - moveDistance='5mm'","re(Z(2,2)) [] - moveDistance='10mm'","re(Z(2,2)) [] - moveDistance='15mm'","re(Z(2,2)) [] - moveDistance='20mm'","re(Z(2,2)) [] - moveDistance='25mm'","re(Z(2,2)) [] - moveDistance='30mm'","re(Z(2,2)) [] - moveDistance='35mm'","re(Z(2,2)) [] - moveDistance='40mm'","im(Z(2,2)) [] - moveDistance='5mm'","im(Z(2,2)) [] - moveDistance='10mm'","im(Z(2,2)) [] - moveDistance='15mm'","im(Z(2,2)) [] - moveDistance='20mm'","im(Z(2,2)) [] - moveDistance='25mm'","im(Z(2,2)) [] - moveDistance='30mm'","im(Z(2,2)) [] - moveDistance='35mm'","im(Z(2,2)) [] - moveDistance='40mm'"
0.959,0.874780370796482,3.99559174509031,3.92502439123075,4.57065446469768,4.93932695541401,5.6917090659429,6.40107321568945,7.09252581532422,53.3652700950169,73.2420765708245,77.805385214629,83.178593627782,87.3300667102621,92.2098787322523,96.2629017750533,99.4658678325227
0.96,0.833333107947023,4.07737703550795,3.98279600759923,4.63581962540455,5.00947768150075,5.77396740278996,6.49486570167174,7.19802574995916,53.9727387423355,73.401082026291,77.9427539881468,83.3275652023578,87.490311121264,92.3869440957325,96.4563598117531,99.6713560393538
0.961,0.816001786114646,4.16210320255105,4.04158409410058,4.70203665922082,5.08075424279856,5.85756052738312,6.59019738393121,7.3052813522282,54.5183737863336,73.5620486931513,78.0804625545266,83.476803859798,87.6508570590735,92.5643539934977,96.6502197512125,99.8772542211762
0.962,0.816201685266876,4.24995669512196,4.1014093862755,4.7693230370093,5.15317511964799,5.94251054531258,6.68709403295498,7.41432218317396,55.0121524531237,73.725076313369,78.2185081552322,83.6263026621319,87.8116972154922,92.7420993055514,96.8444709944768,100.083548981283
0.963,0.829277847741442,4.34114178118941,4.16229311854184,4.83769647352721,5.22675904406746,6.02883986049826,6.7855817706352,7.52517819438121,55.4621409075648,73.8902723365665,78.3568877967232,83.7760543066755,87.9728238977448,92.9201704334761,97.0391023790116,100.290226230673
0.964,0.851896328425462,4.43588278225032,4.22425703958837,4.90717492725273,5.30152499926827,6.11657117411995,6.885687068978,7.63787972510464,55.8748974576344,74.0577526383579,78.4955982403484,83.9260511132319,88.1342290150855,93.0985572837769,97.2341021588678,100.497271163769
0.965,0.881641599770014,4.5344266508248,4.28732342845253,4.97777659994854,5.37749221887983,6.20572748316889,6.98743674835602,7.75245749877655,56.2557887358707,74.2276423101926,78.6346359918212,84.0762850109256,88.2959040650326,93.2772492507657,97.429457984294,100.704668233475
0.966,0.916745816337823,4.63704595328812,4.35151511132513,5.04951993594432,5.45468018586588,6.29633207859646,7.09085797527428,7.86894261885533,56.6092356921784,74.4000765266903,78.7739972902595,84.2267475246647,88.4578401192232,93.4562351989798,97.6251568807888,100.912401125558
0.967,0.95590388524897,4.74404233344905,4.41685547912865,5.12242362111967,5.5331086311121,6.38840854303426,7.19597825961886,7.98736656397365,56.9389046952781,74.5752014962158,78.9136780967655,84.3774297612257,88.6200278088854,93.6355034451283,97.8211852275865,101.120452732369
0.968,0.998145298246653,4.85575054853237,4.48336850592044,5.19650658156883,5.61279753166528,6.48198074806002,7.3028254513565,8.107761182345,57.2478563006552,74.7531754997966,79.0536740825239,84.5283223949544,88.7824573099208,93.8150417395614,98.0175287355686,101.32880512587
