id,time(s),value
0,13.863,2.08
0,13.899,2.08
0,13.900,2.08
0,13.900,2.08
0,13.921,2.08
0,13.941,2.08
0,13.941,2.08
0,13.963,2.08
0,13.963,2.08
0,13.982,2.08
0,13.985,2.08
0,13.986,2.08
0,13.986,2.08
0,14.023,2.08
0,14.024,2.08
0,14.024,2.08
0,14.046,2.08
0,14.065,2.08
0,14.066,2.09
0,14.067,2.09
0,14.089,2.09
0,14.106,2.09
0,14.113,2.09
0,14.113,2.09
0,14.114,2.09
0,14.147,2.09
0,14.148,2.09
0,14.149,2.09
0,14.150,2.09
0,14.189,2.09
0,14.190,2.09
0,14.210,2.09
0,14.210,2.09
0,14.230,2.09
0,14.232,2.09
0,14.232,2.10
0,14.233,2.10
0,14.272,2.10
0,14.272,2.10
0,14.273,2.10
0,14.274,2.10
0,14.313,2.10
0,14.314,2.10
0,14.335,2.10
0,14.336,2.10
0,14.354,2.10
0,14.359,2.10
0,14.359,2.10
0,14.360,2.10
0,14.396,2.10
0,14.397,2.11
0,14.398,2.11
0,14.399,2.11
0,14.437,2.11
0,14.438,2.11
0,14.459,2.11
