0.067370	0.336140	
0.067598	0.336491	
0.067620	0.336842	
0.067653	0.337193	
0.067704	0.337544	
0.067784	0.337895	
0.067789	0.338246	
0.067979	0.338596	
0.068029	0.338947	
0.068213	0.339298	
0.068216	0.339649	
0.068299	0.340000	
0.068372	0.340351	
0.068410	0.340702	
0.068416	0.341053	
0.068457	0.341404	
0.068480	0.341754	
0.068633	0.342105	
0.068655	0.342456	
0.068752	0.342807	
0.068780	0.343158	
0.068788	0.343509	
0.068876	0.343860	
0.068948	0.344211	
0.068990	0.344561	
0.069010	0.344912	
0.069101	0.345263	
0.069133	0.345614	
0.069134	0.345965	
0.069339	0.346316	
0.069396	0.346667	
0.069409	0.347018	
0.069542	0.347368	
0.069604	0.347719	
0.069628	0.348070	
0.069863	0.348421	
0.070033	0.348772	
0.070040	0.349123	
0.070052	0.349474	
0.070184	0.349825	
0.070344	0.350175	
0.070410	0.350526	
0.070666	0.350877	
0.070672	0.351228	
0.070767	0.351579	
0.070846	0.351930	
0.071221	0.352281	
0.071240	0.352632	
0.071251	0.352982	
0.071490	0.353333	
0.071597	0.353684	
0.071706	0.354035	
0.071726	0.354386	
0.071825	0.354737	
0.071934	0.355088	
0.071973	0.355439	
0.071975	0.355789	
0.072288	0.356140	
0.072335	0.356491	
0.072343	0.356842	
0.072376	0.357193	
0.072512	0.357544	
0.072632	0.357895	
0.072635	0.358246	
0.072754	0.358596	
0.072950	0.358947	
0.072990	0.359298	
0.073037	0.359649	
0.073146	0.360000	
0.073220	0.360351	
0.073324	0.360702	
0.073328	0.361053	
0.073399	0.361404	
0.073422	0.361754	
0.073439	0.362105	
0.073494	0.362456	
0.073598	0.362807	
0.073627	0.363158	
0.073643	0.363509	
0.073683	0.363860	
0.073895	0.364211	
0.073944	0.364561	
0.074139	0.364912	
0.074188	0.365263	
0.074193	0.365614	
0.074287	0.365965	
0.074296	0.366316	
0.074325	0.366667	
0.074443	0.367018	
0.074501	0.367368	
0.074506	0.367719	
0.074558	0.368070	
0.074610	0.368421	
0.074695	0.368772	
0.074736	0.369123	
0.074771	0.369474	
0.074853	0.369825	
0.074954	0.370175	
0.075007	0.370526	
0.075398	0.370877	
0.075426	0.371228	
0.075577	0.371579	
0.075649	0.371930	
0.075672	0.372281	
0.075709	0.372632	
0.075813	0.372982	
0.075860	0.373333	
0.075987	0.373684	
0.076174	0.374035	
0.076223	0.374386	
0.076363	0.374737	
0.076422	0.375088	
0.076619	0.375439	
0.076708	0.375789	
0.076718	0.376140	
0.076752	0.376491	
0.076784	0.376842	
0.076876	0.377193	
0.076970	0.377544	
0.077108	0.377895	
0.077222	0.378246	
0.077325	0.378596	
