id,time(s),value
0,9.556,1.83
0,9.556,1.83
0,9.557,1.83
0,9.597,1.83
0,9.598,1.83
0,9.598,1.83
0,9.599,1.84
0,9.639,1.84
0,9.640,1.84
0,9.641,1.84
0,9.642,1.84
0,9.680,1.84
0,9.680,1.84
0,9.681,1.84
0,9.681,1.84
0,9.722,1.84
0,9.722,1.84
0,9.723,1.84
0,9.724,1.84
0,9.763,1.84
0,9.764,1.84
0,9.765,1.84
0,9.793,1.84
0,9.804,1.84
0,9.831,1.84
0,9.832,1.84
0,9.833,1.84
0,9.846,1.84
0,9.871,1.84
0,9.873,1.84
0,9.875,1.84
0,9.914,1.84
0,9.915,1.84
0,9.917,1.86
0,9.953,1.86
0,9.956,1.86
0,9.958,1.86
0,9.960,1.86
0,9.998,1.86
0,10.000,1.86
0,10.036,1.86
0,10.038,1.86
0,10.040,1.86
0,10.043,1.86
0,10.081,1.86
0,10.083,1.86
0,10.120,1.86
0,10.122,1.86
0,10.124,1.86
0,10.161,1.86
0,10.163,1.86
0,10.207,1.86
0,10.209,1.86
0,10.211,1.86
0,10.212,1.86
0,10.254,1.86
0,10.255,1.87
0,10.257,1.87
0,10.292,1.87
0,10.295,1.87
0,10.296,1.87
0,10.298,1.87
0,10.333,1.87
0,10.335,1.87
0,10.368,1.87
0,10.370,1.87
0,10.372,1.87
0,10.374,1.87
0,10.408,1.87
0,10.410,1.87
0,10.444,1.87
0,10.445,1.87
0,10.447,1.87
0,10.481,1.87
0,10.482,1.87
0,10.485,1.87
0,10.518,1.87
0,10.519,1.87
0,10.521,1.88
0,10.555,1.88
0,10.558,1.88
0,10.560,1.88
0,10.562,1.88
0,10.593,1.88
0,10.593,1.88
0,10.595,1.88
0,10.625,1.88
0,10.626,1.88
0,10.627,1.88
0,10.650,1.88
0,10.664,1.88
0,10.665,1.88
0,10.665,1.88
0,10.676,1.88
0,10.676,1.88
0,10.677,1.88
0,10.678,1.88
0,10.691,1.88
0,10.692,1.89
0,10.710,1.89
0,10.710,1.89
0,10.712,1.89
0,10.713,1.89
0,10.733,1.89
0,10.733,1.89
0,10.734,1.89
0,10.754,1.89
0,10.755,1.89
0,10.756,1.89
0,10.775,1.89
0,10.776,1.89
0,10.792,1.89
0,10.792,1.89
0,10.793,1.89
0,10.810,1.89
0,10.810,1.89
0,10.811,1.89
0,10.812,1.90
0,10.832,1.90
0,10.834,1.90
0,10.834,1.90
0,10.855,1.90
0,10.856,1.90
0,10.857,1.90
0,10.868,1.90
0,10.868,1.90
0,10.869,1.90
0,10.880,1.90
0,10.880,1.90
0,10.889,1.90
0,10.889,1.90
0,10.921,1.90
0,10.921,1.90
0,10.921,1.90
0,10.922,1.90
0,10.963,1.90
0,10.963,1.91
0,10.964,1.91
0,10.965,1.91
0,11.004,1.91
0,11.004,1.91
0,11.021,1.91
0,11.021,1.91
0,11.045,1.91
0,11.045,1.91
0,11.046,1.91
0,11.047,1.91
0,11.087,1.91
0,11.088,1.91
0,11.088,1.91
0,11.108,1.91
0,11.128,1.91
0,11.129,1.91
0,11.162,1.91
0,11.162,1.92
0,11.208,1.92
0,11.210,1.92
0,11.211,1.92
0,11.212,1.92
0,11.247,1.92
0,11.247,1.92
0,11.248,1.92
0,11.281,1.92
0,11.281,1.92
0,11.282,1.92
0,11.315,1.92
0,11.316,1.92
0,11.318,1.92
0,11.320,1.92
0,11.353,1.92
0,11.354,1.92
0,11.388,1.92
0,11.388,1.93
0,11.390,1.93
0,11.392,1.93
0,11.427,1.93
0,11.428,1.93
0,11.430,1.93
0,11.432,1.93
0,11.466,1.93
0,11.500,1.93
0,11.500,1.93
0,11.501,1.93
0,11.535,1.93
0,11.535,1.93
0,11.537,1.93
0,11.539,1.93
0,11.573,1.93
0,11.574,1.93
0,11.608,1.93
0,11.608,1.94
0,11.615,1.94
0,11.615,1.94
0,11.617,1.94
0,11.651,1.94
0,11.685,1.94
0,11.685,1.94
0,11.689,1.94
0,11.690,1.94
0,11.724,1.94
0,11.725,1.94
0,11.759,1.94
0,11.759,1.94
0,11.761,1.94
0,11.794,1.94
0,11.794,1.94
0,11.796,1.94
0,11.798,1.94
0,11.831,1.95
0,11.833,1.95
0,11.835,1.95
0,11.869,1.95
0,11.870,1.95
0,11.904,1.95
0,11.904,1.95
0,11.907,1.95
0,11.908,1.95
0,11.942,1.95
0,11.944,1.95
